"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
"10025","New York","NY","New York","New York",1,,,,,,,,,,,,,,,919000,925000,940000,935000,925000,925000,890000,842000,912000,862000,895000,895000,895000,925000,925000,895000,925000,912000,950000,975000,1150000,1090000,949000,899000,897000,879000,875000,895000,940000,962500,1030000,1025000,924500,899000,899000,949000,895000,892500,995000,990000,1085000,1150000,1147000,1147000,1150000,1195000,1195000,1195000,1180000,1285000,1350000,1335000,1362500,1375000,1400000,1445000,1420000,1485000,1490000,1549000,1425000,1450000,1425000,1437500,1475000,1462500,1485000,1395000,1375000,1337500,1300000,1337500,1425000,1385000,1300000,1299944,1395000,1300000,1200000,1295000
"60657","Chicago","IL","Chicago","Cook",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389000,399950,407450,425000,418950,375000,427000,430000,440000,439000,475000,475000,439900,489499.5,417500,4e+05,425000,419500,425000,449950,4e+05,399900,392450,405000,419950,460000,449000,4e+05,349900,399900,399999.5,419500,427499.5,490000,504500,534900,539000,534900,519450,439000,499000,459000,459000,499900,499450,499950,499900,475000
"10023","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750000,2760000,2750000,2767500,2750000,2710000,2697500,2680000,2710000,2750000,2705000,2682500,2717500,2740000,2755000,2745000,2705000
"60614","Chicago","IL","Chicago","Cook",4,375000,389900,389900,399000,399900,399900,399000,399000,389900,385000,359900,359000,359000,350000,345000,350000,350000,359000,362450,377250,380000,398500,379900,399900,399900,419000,420000,422250,399000,377450,357000,355000,384900,344450,404500,415000,425000,450000,452000,474999.5,450000,452500,469900,459900,495000,445000,445000,490000,492500,450000,495000,462450,471950,452500,429999,470000,495000,475000,450000,485000,535000,549900,534950,549500,512444.5,499500,499500,509500,574950,599000,599000,599000,597000,599000,547500,534000,555000,550000,575000,589000,575000,599450,612500,625000,649000,649450,640000,580000,566950,599000,649500,599000,599000,636250
"10002","New York","NY","New York","New York",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2212500,2150000,2e+06,2090000,1912500,2137500,2150000,2200000,2250000,2260000,2500000,2475000,2378000,2358000,2366000,2366000,2366000,2392000,2455000
"94109","San Francisco","CA","San Francisco","San Francisco",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222000,1169500,1365000,1348000,1283000,1249000,1200000,1322500,1399000,1399000,1405000,1452000,1425000,1399000,1470000,1399000,1399000,1382000,1350000,1324500
"11375","New York","NY","New York","Queens",7,349000,349000,349000,339900,339900,339000,329000,329000,329000,339000,329000,339000,339000,339000,339000,339000,329694,339000,339000,329000,329000,328000,319000,309000,299495,299000,299000,327000,319000,328000,319888,325000,325000,319000,305000,299000,299000,305000,299000,299000,309000,318000,322000,325000,299950,304925,319999,317000,309000,309000,315000,325000,329000,329000,339000,339000,369000,359000,369000,359000,389443.5,399000,390000,369000,365000,389000,387000,389000,392000,399000,424999,424999,419500,424999,424999,425000,438000,445000,426500,425000,429999,449000,447000,449000,446750,449949,449999,450000,469000,465000,479000,478500,477000,467000
"32162","The Villages","FL","The Villages","Sumter",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207400,212000,224500,211200,217400,217400,219900,209000,209000,199450,201500,209900,198900,204900,199900,194500,199000,209900,204900,209500,195000,192900,199000,199900,198450,197700,202400,202400,211950,209450,204900,214900,205950,209000,219000,207000
"11235","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575000,575000,585000,549000,575000,620000,619000,619500,620000,616950,603000,599000,599900,603000,615000,610000,603000,597000,588000,575000
"60647","Chicago","IL","Chicago","Cook",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329450,320000,329000,329000,324900,350000,349000,349450,339900,345000,329900,309500,339900,319000,325000,349900,369000,350000,349950,344000,349450,379000,397000,372200,369000,376500,389000,399000,4e+05,399000,389900,375000,393250,393250,399000,421950,457000,449000,414700,409900,394450,394000,402000,408000,425000,399000,381750,404949.5
"37013","Nashville","TN","Nashville","Davidson",11,99990,105790,99900,99950,98000,99500,1e+05,105000,105495,104940,102700,100949.5,93990,96000,97000,93200,93400,94900,89900,89900,88495,89900,88000,84900,83900,83900,83250,84550,84900,82250,83990,83200,84900,84900,84948,89500,88500,89900,89900,89900,95000,89900,97950,99900,109950,107000,109900,99900,99999,99950,109000,95600,94900,106000,112000,119900,119900,119700,115990,115990,113400,115950,119900,119900,118500,115999.5,114900,109450,118950,119900,115420.5,114700,114700,114500,120000,123400,122900,122900,126999,129900,137900,144949.5,145990,144900,144950,138450,139530,149900,159900,149900,149900,149900,149950,157000
"37211","Nashville","TN","Nashville","Davidson",12,99900,96750,112000,113900,1e+05,104500,104615,102000,106500,109000,108500,102450,99900,107000,107000,107000,107000,107000,107000,107000,104000,89900,99900,99500,99900,99900,104000,104000,103200,103200,103200,103200,95200,95300,95300,109250,109000,111200,113900,114900,118950,117450,116900,119900,116950,116000,114900,110000,113450,119900,122750,123000,125000,134000,134950,139900,142900,138400,139900,139900,139900,129900,139900,149925,137450,129900,131900,143500,134900,149800,140000,136200,142450,156900,149000,160000,159900,163450,180000,174947,172400,172400,179900,181250,189981,185000,185000,189900,198000,199000,209900,220950,219900,223400
"60618","Chicago","IL","Chicago","Cook",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320000,329900,339900,325000,319900,319900,324900,324900,289900,282500,329450,349900,349900,349900,349950,336750,324949.5,349950,359900,349500,323250,332400,369000,365000,360000,369900,399000,399000,424000,415000,424500,429000,438500,459362,441950,419950,424900,419999,399000,399900,4e+05,425000,399000,415000
"10011","New York","NY","New York","New York",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400000,3362495,3117495,2995000,2975000,2986500,2998000,2881944,2850000,2889439,2844990,2799990,2774995,2749990,2749995,2575000,2775000
"10128","New York","NY","New York","New York",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895000,1694500,1695000,1650000,1670000,1575000,1555000,1560000,1600000,1725000,1725000,1689000,1700000,1804010,1875000,1875000,2067500,2137500,2150000,2107500,2192500,2195000,2265000,2190000,2245000,2245000,2197500,2192500,2207500,2250000,2227500,2250000,2297500,2395000,2430000
"28269","Charlotte","NC","Charlotte","Mecklenburg",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102695,103950,104900,102400,107500,103040,104750,108357.5,108215,102672,104500,1e+05,1e+05,1e+05,99900,105000,104950,108900,105500,105000,106950,104000,109500,1e+05,101000,102500,104450,104950,109900,109925,110950,118950,117900,110000,106000,106000,105000,105000,117050,122500,123000,118500,125000,118000,115000,123000,127250,122500,120000,126000,122500,125000,126000,125500,130000,133900,134950,130000,134900
"78572","Mission","TX","McAllen","Hidalgo",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89000,94900,94900,89000,88950,75450,78900,85000,94900,93500,93500,95000,99000,104950,102400,102400,86250,79900,82450,87900,85000,94700,89948.5,87450
"94565","Pittsburg","CA","San Francisco","Contra Costa",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e+05,214950,213725,225000,235000,209000,230000,209500,209500,235000,240000,250000,250000,250000,266944,258800,250000,259950,244975,245000,275000,289000,290000,290000,290000,276950,299949.5,294500,299000,299000,299000
