"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
"60657","Chicago","IL","Chicago","Cook",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1199900,1222450,1295000,1199000,1175000,1199000,1295000,1262500,1250000,1199000,992000,989000,1149995,1175000,1075000,1087450,1150000,1217500,1200000,1199000,1e+06,1150000,1200000,1284950,1284950,1262450,1399000,1437000,1449000,1399000,1399000,1299000,1399000,1449900,1497500,1522500,1545000,1450000,1462500,1548000,1475000,1550000,1550000,1549750,1499500,1525000,1574000,1515000,1489000,1499000,1499000,1499000,1499000,1499000,1499000,1499000,1499450,1485000,1450000,1449900,1449950,1449900,1497900,1499000,1498450,1499250,1499000
"77494","Cinco Ranch","TX","Houston","Fort Bend",2,420266,420266,434900,420900,418153.5,416000,405210,4e+05,389950,388665.5,386829,390411,384950,379500,389900,387405.5,380340,383995,389949.5,379900,387511,380566,379900,379900,379900,384101,409329,416778.5,419000,409900,399579,419900,419686,412000,409950,420000,419950,428739,427500,440000,459999,450000,450000,447900,450445,458900,466235,469900,496026.5,499900,513990,539900,539949.5,535000,540386.5,541384,545605.5,539500,539995,529941,527410,527441,532000,541392.5,528481,524999.5,499990,480000,499990,499999,474900,469000,501079,470000,479950,489900,489900,489000,483945,484990,484990,479900,469397,474500,481569.5,489970,499000,499700,499900,519900,509999,495000,481487,485000
"75070","McKinney","TX","Dallas-Fort Worth","Collin",3,375000,389900,370500,375000,365000,362500,354900,350800,356950,356950,349992,349000,322900,322900,339900,344900,338950,369000,369000,345400,315000,305192.5,300995,3e+05,335000,340000,310450,355450,379900,372000,369900,349860,349860,340900,360660,369000,381945,388995,394995,385990,385423,398831,389900,389945,405990,403018,417900,400990,401990,403990,428990,433329.5,427691,436990,436990,439500,452023,448990,435990,472400,495490,485000,475000,475798,480000,458470,461511,427990,433495,470333,472000,459900,449950,458000,465433,469900,465866,479000,479950,492548,491274,488000,482048,482048,482048,474500,495000,512985.5,506284,514142,509321,510000,503650,5e+05
"60614","Chicago","IL","Chicago","Cook",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2595000,2687500,2395000,2695000,2695000,2550000,2395000,2347500,2450000,2370000,2295000,2195000,2172500,2050000,2099000,2249000,2325000,2495000,2325000,2262500,2285000,2495000,2399000,2395000,2275000,2325000,2297500
"60647","Chicago","IL","Chicago","Cook",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499000,479000,494450,512450,499900,475000,489949.5,454495,459000,472000,464000,489500,489000,509000,559000,549400,507500,496950,544500,564950,575000,539899.5,549000,517000,529999,529900,542000,542000,549000,584750,549450,550000,580000,609950,611000,625000,611000,624000,649000
"60618","Chicago","IL","Chicago","Cook",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675000,674925,699000,674850,674850,649450,649000,629900,680000,699000,712000,687000,699000,765000,725000,712500,680000,659000,644950,639500,649000,662000
"77573","League City","TX","Houston","Galveston",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425109.5,407445,403990,389500,395500,386745,386745,395500,386745,413329.5,419990,419990,413494.5,417329.5,419990,413500,415466,413990,402990
"77584","Pearland","TX","Houston","Brazoria",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399900,389900,399900,417900,438000,444613,450000,436990,431232,431232,431232,429900,420900,415900,436237,465900,449900,443900,461450,432990,451990,434990,437664.5,442900,439339,435900,428990,438990,433990,421990,442900,409490,427400,424445,408490,405495,424900,438990,422900,423900,424400,425990,420000,420990,420000
"78572","Mission","TX","McAllen","Hidalgo",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430000,392000,399000,420000,399000,392000,412450,445500,439000,425000,399000,392950,350000,350000,350000,360000,378750,422450,399900,398700,397500,398700,410000,399450,399900,399900,397500
"94565","Pittsburg","CA","San Francisco","Contra Costa",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476200,479990,479990,480200,475000,529000,499000,486888,486888,5e+05,520000,508500,510000,527000,549888,551888,509999.5,519000,5e+05,499444,499000,499000,536944,538888,540000,550000,550000,573500,564000,546135,538888,564500,559000,562425,564950,559000,549900,549500,566000,579900,580000,599450,627350,628215,629999,638700,635000,650000
"79912","El Paso","TX","El Paso","El Paso",11,459500,410000,399000,399000,399000,397500,394499.5,414900,424950,425500,437500,425000,425000,436937.5,425500,424000,425500,430500,414500,399900,417000,419000,419000,435000,439000,419000,425000,419475,411750,397031.5,415000,415000,392000,379900,375000,372450,379900,369900,395000,396250,399000,417450,399000,399916.5,399933,399000,399450,404500,410000,385000,392000,409700,409500,402225,402225,404700,423450,415000,420975,425000,425000,422475,425000,399900,399900,419000,422250,422250,420000,399975,4e+05,399925,397250,390000,399925,410000,449500,430350,440400,459250,431500,459500,465500,462400,458800,462400,419900,465000,449000,449000,435000,419900,437250,439500
"30349","Riverdale","GA","Atlanta","Clayton",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267264.5,249900,258445,261995,269900,269900,263126.5,265087.5,251990,237990,236990,233000,227490,214900,230000,230000,232450,239900,220000,238900,230000,227463.5,230000,238449.5,235950,236900,230417.5,232090,230022.5,229900,234900,239900,239900,242250,236900,245000,269900,259900,259000,254995
