"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
"10025","New York","NY","New York","New York",1,750000,735000,762500,725000,725000,749000,737500,745000,750000,750000,749000,739000,785000,7e+05,775000,750000,749000,745000,747000,699900,749000,795000,820000,795000,795000,827000,825000,844000,875000,859000,839000,875000,875000,875000,875000,824000,799000,875000,819500,835000,872000,899000,949000,975000,895000,887000,925000,955000,980000,982500,975000,949000,949000,899000,975000,934450,995000,1050000,1150000,1150000,1150000,1150000,1150000,1195000,1250000,1295000,1300000,1350000,1347500,1334999.5,1310000,1432500,1450000,1495000,1492500,1549000,1539000,1554000,1595000,1500000,1475000,1399000,1450000,1395000,1395000,1397000,1425000,1490000,1450000,1395000,1300000,1307500,1295000,1395000
"60657","Chicago","IL","Chicago","Cook",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339000,329900,337000,349900,345000,349900,349900,359450,369000,369000,369000,355000,349900,359900,361000,375000,365000,345000,341250,339000,359000,374700,369000,355000,359900,357000,359990,359945,360000,349999,350000,349900,344950,349900,349900,349900,349900,349999,389500,389000,369700,371750,370000,372000,379900,389000,395000,399900,399000,429500,442450,440000,432500,429000,440000,435000,435000,449900,449900
"10023","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2375000,2347500,2410000,2365000,2347500,2355000,2400000,2392500,2425000,2425000,2390000,2355000,2395000,2450000,2387500,2370000,2365000
"60614","Chicago","IL","Chicago","Cook",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399520,420000,399999.5,399900,409000,409000,415000,4e+05,392500,431700,425000,422450,435000,450000,447000,424708,425000,409900,414900,424950,425000,429000,439000,425000,449450,464750,450000,449900,449000,439450,439900,429900,433250,449000,449950,449950,450000,472450,475000,439950,445000,449000,465000,499000,516500,524900,549950,559450,549000,559000,552000,549000,538450,519900,5e+05,514900,524950,549000,547000
"10002","New York","NY","New York","New York",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250000,1250000,1250000,1182500,1250000,1200000,1332500,1350000,1425000,1422500,1505000,1551000,1573000,1600000,1574000,1574000,1575000,1580000,1610000,1605000
"60640","Chicago","IL","Chicago","Cook",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221000,209900,199999,219000,229900,239000,235000,238000,238444,235000,235000,229000,229000,223500,219000,230000,235000,230000,229900,229000,229900,225000,220000,219900,213250,209000,219000,224900,236500,239900,239900,244950,245000,245000,249450,240000,236000,219950,214000,219450,234997,239000,235000,248250,239000,229900,229000,230000
"94109","San Francisco","CA","San Francisco","San Francisco",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,996500,998000,1082500,1075000,1198500,1195000,1089000,1053500,1195000,1195000,998000,990000,995000,995000,992500,998500,1049500,996500,1096500,1150000,1160000,1099500,1099950,1124500,1014500,1089000,1100000,1098000,1200500,1198500,1161500,1049000
"10016","New York","NY","New York","New York",8,,,,,,,,,,,,,,,,725000,724500,729000,722500,699000,697000,699000,695000,677000,649000,745000,790000,839000,827500,799499.5,790000,765000,732552,720000,755000,749000,728000,770000,857000,849000,922000,915000,899000,899000,922000,897000,999000,986500,991500,949000,935000,975000,995000,950000,1085000,1082500,1185000,1250000,1250000,1267000,1298500,1295000,1298000,1310000,1325000,1339000,1300000,1399000,1450000,1550000,1550000,1599990,1499000,1458250,1492000,1485000,1499000,1550000,1500000,1550000,1535000,1499000,1450000,1499500,1500000,1495000,1489000,1470000,1425000,1450000,1375000,1399999.5,1371500,1420000
"11375","New York","NY","New York","Queens",9,279000,275000,260000,259000,259000,255000,255000,250000,255000,249999.5,254500,249499.5,249000,249000,255000,249000,255000,249000,249000,251950,255000,249999.5,239000,239000,239000,242499.5,239999,249000,249000,249000,249000,249000,249000,249900,255500,254000,249000,249777,250000,250000,255900,259000,259000,259950,262000,259000,259000,249999,249000,259000,259000,260000,263900,269000,268000,275000,278944,279999,279000,285000,3e+05,322000,325000,309000,309000,318944,319000,319888,325000,325000,348888,325000,325000,338000,339000,345000,349999,350000,354500,359000,359000,362000,375000,378888,380000,375000,369000,375000,378888,399000,399000,399000,399000,399000
"11235","New York","NY","New York","Kings",10,,,,,,,,,,,,,,,,,,,,,,,,,,,349000,339000,292000,319000,325000,329000,324000,309000,345000,329000,349000,297000,285000,295000,299000,299000,299000,299000,332500,369000,386500,399000,399000,399000,389888,399000,399000,410000,429000,415000,439000,449000,429000,424000,429500,437000,479000,489500,495000,556625,579000,565000,558250,549000,549000,550000,579000,586500,579000,596000,588500,549000,575000,610000,632500,625000,620000,619450,603000,618900,601450,606500,620000,610000,615000,610000,588000,588000
"60647","Chicago","IL","Chicago","Cook",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299900,299900,309000,323000,316950,329950,324700,334950,334900,325500,322450,325000,299900,279900,299900,325000,325000,325000,325000,329450,329900,324950,336000,339000,339500,365000,379000,385000,374750,350000,349000,360000,374950,365000,367500,385000,389900,396500,399900,380000,382450,388000,385000,397000,399000,379900,399000,399900
"37013","Nashville","TN","Nashville","Davidson",12,117900,115990,116831,117326,114000,114900,114900,115000,114900,112750,109700,109000,104900,99900,102900,102500,101200,101250,99899.5,96000,93700,98000,90000,89990,89850,87500,89900,89900,91500,89900,92000,89500,87500,87500,89638.5,89900,90000,96500,1e+05,104800,99700,95000,107450,109900,109900,107000,104900,104900,99900,105450,109900,105000,109844.5,109995,112250,119900,119900,115990,115990,115990,116900,119967,119900,114944,114900,114999.5,116500,115777.5,119900,129900,119900,116900,119900,119900,129900,129900,125900,127950,141495,139900,150990,150990,152745,148445,149900,148400,147900,149900,154900,159450,165000,159925.5,156500,165000
