"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
"10467","New York","NY","New York","Bronx",1,495000,519000,499000,499000,489000,499000,499000,489000,475000,469000,469000,469000,469000,449995,449990,424990,425000,432000,432000,441000,432000,435000,445500,429000,425000,425000,419000,430000,437500,439000,440000,423995,417000,399000,399000,399000,399000,399000,399000,450000,470000,499000,499000,519000,519000,519000,499000,499000,499000,499000,519000,499000,499000,489000,489000,479000,479000,495000,479000,479000,495000,495000,495000,495000,495000,519000,529000,529000,529000,509000,499000,514450,499000,499000,499000,519000,529000,565000,549995,549000,549000,549000,549000,569990,599000,590000,579000,575000,577000,575000,575000,570000,550000,577000
"11226","New York","NY","New York","Kings",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849999.5,849999,885000,850000,837000,799999,825000,895000,928000,950000,1099000,1197500,1122500,999000,999000,999000
"11235","New York","NY","New York","Kings",3,654500,654500,650000,650000,658000,659000,669000,649000,650000,659000,679000,699000,699000,659000,667000,659000,689000,689000,692000,695000,689000,680000,697500,699000,695000,699000,699000,699000,679500,649500,679000,699000,719000,694000,694000,679000,679000,662500,696000,699499.5,719000,720000,724500,749000,720000,749000,650000,720000,699000,699000,699499.5,732000,744000,749000,779500,799000,787000,779000,799000,789000,799000,831500,817500,820000,804500,799000,810000,825000,819900,821950,825000,849000,899000,899000,930000,950000,972450,995000,975000,980000,975000,950000,979000,964000,996500,998500,1069000,999000,1019000,999999,1009499.5,999999,1019000,1100000
"60647","Chicago","IL","Chicago","Cook",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445000,475000,486000,450000,407825,389000,399000,389000,399000,399090,399750,449450,449900,435000,435000,435000,419000,419000,455000,474950,452500,449900,449900,449500,449900,432450,455000,459000,457500,487500,492500,492500,484000,499900,490000,499950,540000,580000
"60618","Chicago","IL","Chicago","Cook",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339000,347000,382000,389000,389500,394950,425000,424500,399950,425000,407450,387500,359000,339900,349950,349900,379500,376950,399000,394450,399900,399900,397250,395500,397750,434250,450000,474000,469000,466950,474900,464900,488000,476950,464950,449950,450000,450000,485000,495000,499000,5e+05,510000,494450,499899.5,489000,499000,485000
"90046","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2314000,2122500,2074750,2250000,1980000,2100000,1974999.5,1990000,1974999.5,1990000,1994500,1995000,1899000,1899000,1899000,1899000,1800000
"10462","New York","NY","New York","Bronx",7,475000,479000,479000,475000,460000,459000,450000,459000,454500,459000,462000,465000,462000,454500,450000,450000,449000,449000,447000,449000,459000,449000,441500,435000,439000,449500,450000,450000,449000,445000,445000,459500,475000,469500,450000,475000,449000,454500,445000,442000,469000,469000,469000,450000,450000,475000,479000,459000,499000,529000,529000,529000,549000,549000,579000,579000,579000,579000,579000,579000,559000,555000,549000,555000,579000,579000,579000,579000,559000,564000,550000,550000,569950,579000,589000,599000,599000,579000,584000,599000,604950,617000,579000,585000,585000,562000,549497.5,550000,544000,554997.5,554997.5,579000,599000,590000
"10456","New York","NY","New York","Bronx",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6e+05,515000,507000,515000,539500,549000,5e+05,499000,549000,549000,572500,559500,587000,587000,570000,544500,550000,599000,575000
"11209","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024000,1075000,1194000,1169000,1200000,1193500,1149000,1110000,1090000,1134500,1027000,1025000,1100000,1100000,1079000,1199000,1235000,1254000,1310000,1325000,1380000,1375000,1380000,1449500,1450000,1398500,1377500,1380000,1350000,1352000,1299000,1299000,1299500,1368000,1397000,1418999.5,1499499.5,1459000,1399999,1399499.5,1408999.5,1428000,1438000,1431500
"60629","Chicago","IL","Chicago","Cook",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144705.5,144511,144900,144900,130000,124500,127250,149900,138450,149900,141400,154950,156500,165000,159000,142400,130000,135000,139900,139950,159000,159900,160000,165000,160000,159900,159900,155000,155000,159350,167000,179500,189000,189500,193000,189500,199000,191000
"60625","Chicago","IL","Chicago","Cook",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454500,464500,489450,499000,5e+05,479900,499000,489000,495000,519500,480000,482500,504950,499450,492000,467450,479450,479900,484950,498500,498950,489900,499950,507500,5e+05,494900,489900,482450,490000,495000,495000,499950,537450,549900,572000
"11212","New York","NY","New York","Kings",12,460000,477000,499000,474000,472000,485000,492749.5,495500,475000,459500,457000,450000,449000,457000,449000,450000,477000,479000,467450,449750,459000,479000,485000,489000,467000,474750,487000,461500,454000,454000,450000,454500,449000,450000,499000,489000,489000,479000,479000,479000,489000,479000,499000,489000,479000,489000,519000,521950,529000,529000,529000,539000,539000,539000,539000,534000,539000,529000,549000,569000,584000,589000,579000,550000,550000,550000,554500,579000,584000,599000,599000,629000,659000,659000,659000,669999,669000,729000,729000,729000,729000,729000,739000,749000,739000,729000,749000,767000,749000,749000,759000,749000,729000,729000
"11214","New York","NY","New York","Kings",13,794000,799000,797000,799000,799000,798500,799000,779000,769000,754000,769000,766500,768000,780000,780000,799000,799000,844450,839000,880000,880000,877000,860000,860000,879000,855000,828500,857500,857500,862499.5,843500,848500,839000,877000,919950,919900,899000,888000,844000,865000,886000,826500,918000,879500,959000,970000,849000,899000,949000,949000,949000,986500,972000,969000,939000,998000,998000,1e+06,1084000,1188000,1199000,1200000,1234500,1249000,1249000,1250000,1249000,1239444.5,1199000,1200000,1248944.5,1250000,1289500,1289000,1299000,1294000,1299499.5,1329000,1300000,1299000,1384000,1389000,1399000,1425000,1426500,1499000,1445000,1428000,1399000,1428000,1413500,1399000,1469000,1493000
"60619","Chicago","IL","Chicago","Cook",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155000,146500,146500,142450,138250,145000,152000,148000,148950,150000,149000,150000,140000,129900,129900,144900,144950,137900
"11221","New York","NY","New York","Kings",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825000,849000,850000,867499.5,895000,879999.5,899000,899987,949000,977000,975000,980000,999000,999000,999000,999000,999499.5,1037000,1150000,1050000,1149999,1199000,1199000,1199000,1199000,1200000,1200000,1250000,1249500,1250000,1295000,1299000,1300000,1327000,1300000,1300000,1292500,1250000,1250000,1299000,1324500,1349995,1350000,1325000,1349997.5,1300000,1300000,1299000
"11207","New York","NY","New York","Kings",16,429000,429000,429000,430000,429000,419200,425000,419900,419000,425000,410000,399500,399000,399000,399000,398875.5,395000,395000,395000,392000,396500,399000,399000,399000,399000,399000,4e+05,399000,399999,419000,425000,439000,449000,449000,469000,479000,479000,479000,490000,499000,509000,509000,509000,499999,509000,519000,519000,519000,520000,525000,542500,549000,529000,539000,549000,569000,569000,575000,575000,587000,599000,599000,599000,599000,625000,650000,650000,689000,680000,699000,689000,650000,659999.5,650000,749000,749000,749000,750000,749500,795000,749000,749000,749000,749999.5,757500,775000,789000,799000,799000,799999,799999,799000,825000,849000
"44107","Lakewood","OH","Cleveland","Cuyahoga",17,110000,114900,113100,123500,119900,114950,124900,119900,115000,119500,114943.5,114500,114000,107250,104900,99700,99900,98250,98250,99900,99500,94997,99650,99900,109900,109950,1e+05,110000,114700,114700,109000,99500,99000,99375,105000,105450,109000,109900,112900,99990,107450,109000,105000,106500,1e+05,103000,1e+05,99000,95000,95000,98250,90000,99900,112450,119000,109900,119450,123700,124900,120400,119200,118500,123000,114900,112635,119000,118450,114900,119000,116900,119000,119950,119000,119900,123889.5,125900,129900,139900,139900,139500,138500,134900,145000,145000,148700,145000,134900,129900,144500,149000,150000,149900,150950,149900
"11377","New York","NY","New York","Queens",18,685000,739000,734000,739000,739000,728000,725000,728000,727000,724000,719000,725000,719999,719000,725000,704500,699000,704500,728500,739000,745000,749000,749000,749000,748000,724500,699900,729000,710000,704950,699450,689000,689000,697000,695000,697000,714500,675000,699000,699000,744500,759500,730000,750000,750000,769000,749000,799000,825000,842000,850000,875000,870000,868000,863500,868000,870000,870000,850000,854500,924500,999000,964500,998000,990000,1097500,1145000,1100000,1050000,998000,1e+06,960000,960000,998500,998999.5,1050000,1050000,1050000,1100000,1162000,1137500,1179000,1195000,1188444,1191944,1188888,1199000,1200000,1292500,1298000,1298500,1249499.5,1299800,1274000
"90044","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",19,251000,275000,250000,250000,249500,249000,242500,248000,230000,229900,222000,209700,231350,239000,232500,249999,248875,239000,235000,230000,230000,252450,249000,230000,230000,229900,247000,249500,254000,249000,259000,274900,264450,268900,289900,288700,304000,319950,320000,335000,346000,339000,337000,348500,354500,352000,365000,349900,350000,357450,372450,369000,374000,386950,390000,399000,399000,399000,399947.5,399947.5,395000,389000,387000,390500,390500,405000,410000,449999,425000,430000,425000,418000,425000,425000,449945,460000,485000,479000,480000,499000,499000,489000,480000,480000,479950,480000,492500,520000,529900,529000,525000,525000,536750,540000
"11234","New York","NY","New York","Kings",20,639000,650000,650000,649000,644000,650000,650000,649000,649999,623000,649000,6e+05,620000,649999.5,649000,634500,649500,629000,639000,634500,625000,649000,627000,649000,649000,649000,649000,639000,622000,629000,629900,649000,649000,644000,695000,699000,682500,675000,680000,679000,660000,679000,659000,659000,659000,659000,650000,675000,682000,690000,699000,699000,699000,699000,699499.5,699000,699000,699000,699000,696500,687000,698500,699000,699000,695000,698500,689000,698500,699000,729000,734000,739000,739000,749000,752500,771500,779000,779499.5,777499.5,750000,765000,759000,749500,749000,769500,799000,798000,804999.5,837000,809499.5,849000,859000,869000,849000
