"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
"10025","New York","NY","New York","New York",1,,,,2675,2517.5,2600,2617.5,2750,2775,2775,2750,2825,2785,2785,2725,2695,2775,2800,2895,2800,2875,2850,2999.5,3135,3300,3185,3000,3000,3000,3100,3200,3200,3250,3200,3200,3200,3250,3200,3200,3250,3205,3250,3295,3250,3200,3195,3000,3182.5,3158,3100,3150,3145,3197.5,3195,3190,3100,3072.5,3050,3100,3150,3195,3195,3175,3150,3162,3175,3037.5,3012.5,3240,3200,3095,3200,3295,3200,3000,3200,3097.5,3100,3112,3100,3070,3200,3250,3295,3200
"60657","Chicago","IL","Chicago","Cook",2,,,,,,1195,1215,1250,1342.5,1275,1260,1275,1295,1250,1250,1345,1475,1400,1450,1495,1600,1600,1500,1575,1545,1570,1497.5,1500,1500,1495,1510,1575,1525,1445,1480,1400,1350,1425,1425,1500,1500,1475,1495,1525,1500,1500,1450,1447.5,1550,1575,1595,1600,1535,1550,1650,1695,1745,1695,1550,1545,1472,1468.5,1460,1440,1490,1550,1572.5,1595,1650,1550,1460,1460,1500,1435,1466,1495,1540,1575,1550,1605,1650,1595,1595,1595,1595
"10023","New York","NY","New York","New York",3,,,,,,,,,,,3200,3300,3100,3143.5,3250,3195,3197.5,3175,3200,3250,3272.5,3200,3350,3300,3300,3325,3200,3200,3100,3225,3200,3200,3300,3300,3399,3495,3500,3400,3400,3400,3400,3435,3450,3450,3495,3400,3497,3420,3395,3427,3369,3350,3440,3450,3495,3250,3272.5,3399,3416,3418,3300,3286,3300,3250,3238,3234,3300,3295,3200,3226,3195,3250,3325,3279.5,3200,3162,3226,3200,3200,3235.5,3295,3400,3300,3300,3400
"60614","Chicago","IL","Chicago","Cook",4,,,,,1475,1430,1500,1500,1595,1500,1445,1519.5,1550,1625,1600,1600,1585,1575,1600,1750,1845,1765,1694,1657.5,1700,1700,1600,1694.5,1697.5,1695,1694.5,1835,1805,1837.5,1715,1672.5,1597.5,1665,1675,1752.5,1700,1650,1675,1637.5,1795,1750,1750,1800,1895,1951,1895,1930.5,1850,1700,1750,1895,1995,1895,1899.5,1895,1825,1950,1967,1900,1970,1897.5,1850,1895,1942.5,1850,1660,1725,1575,1650,1595,1650,1675,1750,1750,1800,1863.5,1945,1880,1875,1800
"10002","New York","NY","New York","New York",5,,,,,,,,,,,,,,,,,2500,2500,2687.5,2600,2600,2600,2572.5,2550,2725,2825,2600,2595,2597.5,2650,2695,2700,2750,2750,2750,2750,2800,2763.5,2745,2750,2700,2795,2795,2795,2875,2941.5,3045,3000,3000,3050,3100,2972.5,3000,2995,2950,2895,3150,3150,3197,3295,3100,3090,3000,3100,3092,3025,2950,2997.5,3300,3075,3197.5,3234.5,2995,3200,2987,2900,3200,3062.5,3075,3200,3200,3200,3196.5,3100,2995
"60640","Chicago","IL","Chicago","Cook",6,,,,797,812.5,925,862.5,875,824,845,800,800,800,875,875,985,995,997,1050,1050,995,1025,1100,1095,1150,1175,1145,1145,1125,1150,1100,1100,1125,1145,1150,1195,1175,1175,1150,1190,1175,1175,1175,1175,1175,1195,1195,1200,1200,1250,1200,1200,1200,1200,1195,1200,1210,1300,1275,1225,1275,1295,1250,1242.5,1275,1350,1325,1300,1317.5,1290,1250,1225,1250,1200,1175,1200,1295,1295,1350,1350,1350,1350,1350,1300,1350
"10467","New York","NY","New York","Bronx",7,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1200,1195.5,1300,1300,1300,1250,1285,1283.5,1250,1275,1275,1250,1250,1200,1200,1249,1250,1250,1250,1200,1205,1250,1300,1300,1250,1275,1300,1300,1300,1300,1300,1300,1350,1400,1400,1400,1400,1400,1400,1400,1400,1400,1450,1400,1400,1450,1400,1450,1495,1475,1450,1450,1475,1475,1498.5,1500,1500,1500,1537.5,1525,1550
"94109","San Francisco","CA","San Francisco","San Francisco",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3772.5,3625,3372.5,3200,3400,3600,3600,3675,3800,3900,3995,3900,4000,4200,3975,3850,3800,3800,3900,3995,3997.5,3860,3795,3812.5,3700,4175,4000,3650,4000,4290,3875,4040,3555,3625,3497.5,3600,3600,3550,3472.5,3495,3400,3575,3575,3500,3400,3295,3200
"11226","New York","NY","New York","Kings",9,,,,,,,,,,,,,,1487.5,1400,1385,1300,1295,1350,1275,1350,1400,1400,1350,1399.5,1387,1517,1550,1500,1500,1499,1600,1700,1700,1750,1700,1600,1550,1600,1650,1650,1650,1675,1750,1795,1775,1750,1750,1800,1800,1795,1750,1750,1800,1850,1950,1850,1825,1895,1895,1950,1900,1900,1900,1900,1900,1900,1950,1997,1999,1950,2100,1931.5,2000,1849,1900,1900,1950,1950,1975,2000,2050,2000,2000,2000
"10016","New York","NY","New York","New York",10,,,,2500,2525,2700,2750,2800,2850,2895,2900,2900,2950,2995,2900,2900,2925,2900,2930,3085,3095,3095,3150,3150,3160.5,3125,3050,3000,3000,3000,3000,3100,3100,3170.5,3200,3195,3177,3100,3100,3085,3100,3125,3150,3200,3200,3450,3438.5,3400,3389,3400,3448,3395,3400,3492.5,3450,3412,3400,3395,3375,3350,3300,3300,3295,3250,3295,3295,3297.5,3300,3300,3300,3295,3350,3400,3300,3300,3236,3295,3300,3385,3400,3395,3400,3400,3395.5,3395
"11375","New York","NY","New York","Queens",11,,,,,,,,,,,,,1900,2000,1900,1995,1972.5,2100,2000,2100,1950,1950,1925,1837.5,1875,1862.5,1995,1895,1912.5,1895,1900,1897.5,2000,2000,2000,1968,1925,1925,1950,1950,1950,1950,1925,1995,1975,2007.5,1950,2023.5,2000,1950,2000,2050,2050,2000,2100,2150,2175,2195,2200,2200,2197.5,2250,2250,2250,2200,2197,2162.5,2200,2150,2250,2197,2200,2200,2200,2100,2100,2100,2000,2000,1997,2000,2000,2100,2100,2100
