"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-10-31,61639,"10025","NY","New York","New York","New York",0,1315800,0.00527160210864084,0.0144167758846658,0.179878048780488,0.113374868786405,0.0565059054409964,"2017-10","2017-Q4",1315800,0,"2017-10"
2017-10-31,84654,"60657","IL","Chicago","Cook","Chicago",1,322500,-0.00555041628122109,-0.0043223217042297,0.018957345971564,0.039116721517221,-0.000371333508277671,"2017-06","2017-Q2",324700,-0.0067754850631352,"2017-04"
2017-10-31,84616,"60614","IL","Chicago","Cook","Chicago",2,403800,-0.0175182481751825,-0.0158420667804046,-0.000742390497401633,0.0489332177564854,0.00142265860722568,"2017-02","2017-Q1",415200,-0.0274566473988439,"2016-10"
2017-10-31,93144,"79936","TX","El Paso","El Paso","El Paso",3,116500,0.015693112467306,0.0183566433566434,0.023725834797891,0.00155226687442411,-0.0113597792506921,"2007-12","2007-Q4",131100,-0.111365369946606,"2006-09"
2017-10-31,84640,"60640","IL","Chicago","Cook","Chicago",4,210700,0.000474833808167142,0.022319262493935,0.0641414141414141,0.0507507935454601,-0.0103491480172613,"2007-02","2007-Q1",237800,-0.113961312026913,"2003-09"
2017-10-31,91733,"77084","TX","Houston","Harris","Houston",5,163300,0.0111455108359133,0.0231829573934837,0.0187149095446039,0.0834123267310256,0.0236992075737956,"2017-10","2017-Q4",163300,0,"2017-10"
2017-10-31,97564,"94109","CA","San Francisco","San Francisco","San Francisco",6,1133700,-0.000881290208865779,-0.0142596295974263,0.0231949458483755,0.0817376303498349,0.0335560982887257,"2017-06","2017-Q2",1152400,-0.0162270045123221,"2017-03"
2017-10-31,90668,"75070","TX","Dallas-Fort Worth","Collin","McKinney",7,322500,0.0100219229564673,0.0231598984771574,0.0732113144758735,0.099941920332683,0.0446818390257409,"2017-10","2017-Q4",322500,0,"2017-10"
2017-10-31,62037,"11226","NY","New York","Kings","New York",8,653500,0.00399446919649716,0.0134925558312655,0.0981347672660057,0.117071262416059,0.0410377509741091,"2017-10","2017-Q4",653500,0,"2017-10"
2017-10-31,91940,"77449","TX","Houston","Harris","Cypress",9,166200,0.014032946918853,0.0259259259259259,0.0278293135435993,0.0918634033525785,0.0223807870254047,"2017-10","2017-Q4",166200,0,"2017-10"
2017-10-31,61630,"10016","NY","New York","New York","New York",10,1114000,-0.00313199105145414,-0.000896860986547085,0.198751748628,0.102274242736793,0.0462516314168964,"2017-08","2017-Q3",1126800,-0.0113596024139155,"2017-07"
2017-10-31,71831,"32162","FL","The Villages","Sumter","The Villages",11,246300,-0.0016214025131739,-0.00525040387722132,-0.000811359026369168,0.0415902237850923,0.00184563779125768,"2007-01","2007-Q1",253700,-0.0291683090264091,"2006-09"
2017-10-31,62045,"11235","NY","New York","Kings","New York",12,573600,0.0186467767714438,0.051126992853216,0.20251572327044,0.0812673768198886,0.0341980602232845,"2017-10","2017-Q4",573600,0,"2017-10"
2017-10-31,84646,"60647","IL","Chicago","Cook","Chicago",13,330400,-0.00211416490486258,-0.00120918984280532,0.0360614612731264,0.0831635987861967,0.00793220877744405,"2017-09","2017-Q3",331100,-0.00211416490486258,"2017-06"
2017-10-31,74242,"37211","TN","Nashville","Davidson","Nashville",14,234500,0.00947051226861817,0.0312225153913808,0.130665380906461,0.116104441865962,0.0453473791009711,"2017-10","2017-Q4",234500,0,"2017-10"
2017-10-31,96107,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",15,579400,0.000518045242617855,0.00852915578764143,0.0688064932669249,0.0971252028004623,,"2017-10","2017-Q4",579400,0,"2017-10"
2017-10-31,74101,"37013","TN","Nashville","Davidson","Nashville",16,196000,0.00926879505664264,0.0348468848996832,0.142857142857143,0.091696202200062,0.0282802442389172,"2017-10","2017-Q4",196000,0,"2017-10"
2017-10-31,84620,"60618","IL","Chicago","Cook","Chicago",17,330300,-0.00361990950226244,-0.00422068133855894,0.0147465437788018,0.0682811661166416,-0.0056911747242081,"2007-03","2007-Q1",351100,-0.0592423810880091,"2005-11"
2017-10-31,61703,"10128","NY","New York","New York","New York",18,1442600,0.0123508771929825,0.0655931452208598,0.366875118438507,0.123248914749814,0.049224373961837,"2017-10","2017-Q4",1442600,0,"2017-10"
2017-10-31,69816,"28269","NC","Charlotte","Mecklenburg","Charlotte",19,183700,0.00823271130625686,0.0233983286908078,0.0837758112094395,0.0638584631848695,0.013214419011002,"2017-10","2017-Q4",183700,0,"2017-10"
2017-10-31,71067,"30349","GA","Atlanta","Clayton","Riverdale",20,125600,0,0.0466666666666667,0.197330791229743,0.164711610211135,-0.00865023671634602,"2006-04","2006-Q2",142500,-0.11859649122807,"2003-11"
2017-10-31,93123,"79912","TX","El Paso","El Paso","El Paso",21,175600,0.0173812282734647,0.0281030444964871,0.0378250591016548,0.000342036335858387,-0.00737936722233345,"2007-12","2007-Q4",189700,-0.0743278861360042,"2006-09"
2017-10-31,96027,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",22,1294900,-0.0022345507782401,-0.00614014889861079,0.0280247697681804,0.103824021815114,0.0223797912092234,"2017-05","2017-Q2",1311100,-0.0123560369155671,"2017-04"
