"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-10-31,"10025","NY","New York","New York","New York",0,3735,-0.00133689839572192,0.011646803900325,0.017156862745098,11590
2017-10-31,"60657","IL","Chicago","Cook","Chicago",1,2108,0.00190114068441065,0.00668576886341929,-0.00659754948162111,19955
2017-10-31,"10023","NY","New York","New York","New York",2,4173,0.000959462700887503,0.026063437423162,0.058599695585997,16863
2017-10-31,"60614","IL","Chicago","Cook","Chicago",3,2314,-0.00258620689655172,-0.00558659217877095,-0.0127986348122867,22779
2017-10-31,"79936","TX","El Paso","El Paso","El Paso",4,1003,0.004004004004004,0.00501002004008016,-0.00791295746785361,29177
2017-10-31,"10002","NY","New York","New York","New York",5,3751,0,0.0212360468282058,0.0135098621994056,3802
2017-10-31,"60640","IL","Chicago","Cook","Chicago",6,1656,0.00302846759539673,0.00302846759539673,-0.00301023479831427,15051
2017-10-31,"10467","NY","New York","Bronx","New York",7,1761,0.00113700966458215,0.00859106529209622,0.0250291036088475,1043
2017-10-31,"77084","TX","Houston","Harris","Houston",8,1428,0,0.00563380281690141,-0.00557103064066852,25525
2017-10-31,"94109","CA","San Francisco","San Francisco","San Francisco",9,4417,-0.00225886604924328,-0.00585190186810713,-0.0234357727172231,6444
2017-10-31,"75070","TX","Dallas-Fort Worth","Collin","McKinney",10,1940,0.000515729757607014,0.00154878678368611,0.000515729757607014,27381
2017-10-31,"11226","NY","New York","Kings","New York",11,2344,0.00860585197934595,0.0129645635263613,0.0339655932951037,2383
2017-10-31,"77494","TX","Houston","Fort Bend","Cinco Ranch",12,2231,-0.000448028673835125,-0.000895656068069861,-0.0223488168273444,26710
2017-10-31,"77449","TX","Houston","Harris","Cypress",13,1429,0.00210378681626928,0.00989399293286219,-0.00556715379262352,29511
2017-10-31,"11375","NY","New York","Queens","New York",14,2113,-0.00704887218045113,-0.0194895591647332,-0.0194895591647332,14260
2017-10-31,"10016","NY","New York","New York","New York",15,3778,0.00105988341282459,0.0183288409703504,0.00854244527495996,12425
2017-10-31,"11235","NY","New York","Kings","New York",16,2273,0.00530738611233967,0.0102222222222222,0.022952295229523,8672
2017-10-31,"60647","IL","Chicago","Cook","Chicago",17,2033,-0.000982800982800983,0.00993541977148535,0.0506459948320413,11867
2017-10-31,"37211","TN","Nashville","Davidson","Nashville",18,1575,0.000635324015247776,0.00767754318618042,0.0472074468085106,18679
2017-10-31,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",19,2733,0.00293577981651376,0.0129725722757598,0.0519630484988453,10712
2017-10-31,"37013","TN","Nashville","Davidson","Nashville",20,1444,0.00277777777777778,0.00487125956854558,0.0219391365888181,20170
2017-10-31,"10009","NY","New York","New York","New York",21,4407,-0.00113327289211242,0.0306361085126286,0.040859707132735,1910
2017-10-31,"60618","IL","Chicago","Cook","Chicago",22,2039,-0.00146914789422135,0.00691358024691358,0.0124131082423039,13018
2017-10-31,"10029","NY","New York","New York","New York",23,3452,-0.00115740740740741,-0.00547392682224143,0.0219064535227946,1569
2017-10-31,"10128","NY","New York","New York","New York",24,3865,0.00207415089447757,0.0219460602855632,0.0534205505587353,11139
2017-10-31,"10011","NY","New York","New York","New York",25,4710,-0.00254129606099111,0.0328947368421053,0.00748663101604278,10867
2017-10-31,"28269","NC","Charlotte","Mecklenburg","Charlotte",26,1340,0.00374531835205993,0.00827689992475546,0.0268199233716475,25170
2017-10-31,"78572","TX","McAllen","Hidalgo","Mission",27,1029,0,-0.0162523900573614,-0.0077145612343298,18773
2017-10-31,"77573","TX","Houston","Galveston","League City",28,1988,0.000503271263210871,-0.000502765208647562,-0.0158415841584158,24390
2017-10-31,"30349","GA","Atlanta","Clayton","Riverdale",29,1123,0.00898472596585804,0.0246350364963504,0.0574387947269303,22468
2017-10-31,"79912","TX","El Paso","El Paso","El Paso",30,1256,0.000796812749003984,0.0056044835868695,-0.0164447924823806,19142
2017-10-31,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",31,4781,-0.000418147606104955,-0.00208724692131079,0.0178837555886736,8039
2017-10-31,"94565","CA","San Francisco","Contra Costa","Pittsburg",32,2214,0.00911577028258888,0.0269016697588126,0.0588235294117647,21290
2017-10-31,"77584","TX","Houston","Brazoria","Pearland",33,1879,-0.00371155885471898,-0.0110526315789474,-0.0314432989690722,21614
2017-10-31,"10003","NY","New York","New York","New York",34,4460,0.000224265530387979,0.0384167636786962,0.0546228422794987,8582
2017-10-31,"10462","NY","New York","Bronx","New York",35,1583,0.0219496449322143,0.0326157860404436,-0.0833815865662999,13334
2017-10-31,"10456","NY","New York","Bronx","New York",36,1898,0.00370174510840825,0.0063626723223754,0.0451541850220264,674
2017-10-31,"60613","IL","Chicago","Cook","Chicago",37,1660,0.00423472474289171,0.00302114803625378,-0.0415704387990762,17233
2017-10-31,"78660","TX","Austin","Travis","Pflugerville",38,1634,0,-0.00365853658536585,-0.00183262064752596,21745
2017-10-31,"75052","TX","Dallas-Fort Worth","Dallas","Grand Prairie",39,1579,0.00317662007623888,0.0141297366730893,0.0443121693121693,23914
2017-10-31,"20009","DC","Washington","District of Columbia","Washington",40,2829,-0.00352236703064459,-0.00527426160337553,0.0198269646719539,11751
2017-10-31,"20002","DC","Washington","District of Columbia","Washington",41,2791,-0.00321428571428571,0.00143523501973448,0.0547996976568405,13747
2017-10-31,"21234","MD","Baltimore","Baltimore","Parkville",42,1629,0.00122925629993854,0.00742115027829314,0.0303605313092979,21618
