"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-10-31,"10025","NY","New York","New York","New York",0,3571,0.00224529890541678,0.011614730878187,-0.000839395635142697,21508
2017-10-31,"60657","IL","Chicago","Cook","Chicago",1,1871,-0.0016008537886873,0.00160599571734475,-0.0142255005268704,28906
2017-10-31,"10023","NY","New York","New York","New York",2,3939,-0.000507485409794468,0.0241809672386895,0.0152061855670103,27716
2017-10-31,"60614","IL","Chicago","Cook","Chicago",3,2074,-0.00144439094848339,0.00144857556735876,-0.0142585551330798,28458
2017-10-31,"79936","TX","El Paso","El Paso","El Paso",4,843,0,-0.00236686390532544,-0.0387685290763968,2212
2017-10-31,"10002","NY","New York","New York","New York",5,3762,0.00239808153477218,0.0208955223880597,0.00966183574879227,8908
2017-10-31,"60640","IL","Chicago","Cook","Chicago",6,1583,0.000632111251580278,-0.00314861460957179,-0.010625,20422
2017-10-31,"10467","NY","New York","Bronx","New York",7,1751,0.00228963938179737,0.00114351057747284,0.0198019801980198,6082
2017-10-31,"77084","TX","Houston","Harris","Houston",8,1291,0.00155159038013964,-0.000773993808049536,-0.0129969418960245,1140
2017-10-31,"94109","CA","San Francisco","San Francisco","San Francisco",9,4331,-0.00161364684186261,-0.00436781609195402,-0.0300111982082867,8799
2017-10-31,"75070","TX","Dallas-Fort Worth","Collin","McKinney",10,1727,-0.000578703703703704,-0.00747126436781609,0,1337
2017-10-31,"11226","NY","New York","Kings","New York",11,2175,0.0135135135135135,0.0293421675343114,0.0230479774223895,8987
2017-10-31,"77494","TX","Houston","Fort Bend","Cinco Ranch",12,1592,-0.000627746390458255,-0.00313087038196619,-0.0286760219646126,471
2017-10-31,"77449","TX","Houston","Harris","Cypress",13,1346,0.00597907324364723,0.0112697220135237,-0.112137203166227,342
2017-10-31,"11375","NY","New York","Queens","New York",14,2071,-0.00623800383877159,-0.024493641073952,-0.0263281617301363,17055
2017-10-31,"10016","NY","New York","New York","New York",15,3725,0.00404312668463612,0.0230705850041197,0.0083919870059556,25706
2017-10-31,"11235","NY","New York","Kings","New York",16,2233,0.00676284941388638,0.0224358974358974,0.0238422741861531,14232
2017-10-31,"60647","IL","Chicago","Cook","Chicago",17,1739,-0.00343839541547278,0.00172811059907834,0.0235432607416127,14535
2017-10-31,"37211","TN","Nashville","Davidson","Nashville",18,1263,0.00158604282315623,0.0104,0.0251623376623377,4720
2017-10-31,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",19,2508,-0.00476190476190476,-0.00357568533969011,0.0627118644067797,5556
2017-10-31,"37013","TN","Nashville","Davidson","Nashville",20,1260,0.00158982511923688,0.00880704563650921,0.0277324632952692,3613
2017-10-31,"10009","NY","New York","New York","New York",21,3902,0.00128303823453939,0.0222687974849358,0.0098343685300207,8912
2017-10-31,"60618","IL","Chicago","Cook","Chicago",22,1668,-0.00298864315600717,-0.00179533213644524,0.0139817629179331,12787
2017-10-31,"10029","NY","New York","New York","New York",23,3009,-0.00132758048456688,0,0.00939282120093928,5471
2017-10-31,"10128","NY","New York","New York","New York",24,3324,-0.000601322910402886,-0.00805729632945389,-0.0110086283844094,21764
2017-10-31,"10011","NY","New York","New York","New York",25,4382,0.00343485230135104,0.0276735459662289,-0.000684150513112885,20420
2017-10-31,"28269","NC","Charlotte","Mecklenburg","Charlotte",26,1179,0.00255102040816327,0.0137575236457438,0.0452127659574468,3295
2017-10-31,"78572","TX","McAllen","Hidalgo","Mission",27,861,-0.00577367205542725,-0.0148741418764302,-0.127659574468085,826
2017-10-31,"77573","TX","Houston","Galveston","League City",28,1321,-0.00151171579743008,-0.00676691729323308,0.0161538461538462,1168
2017-10-31,"30349","GA","Atlanta","Clayton","Riverdale",29,987,0.00920245398773006,0.0196280991735537,0.0455508474576271,2187
2017-10-31,"79912","TX","El Paso","El Paso","El Paso",30,1069,0,0.0200381679389313,-0.00279850746268657,2021
2017-10-31,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",31,2924,-0.000683526999316473,-0.00408719346049046,0.00515641113784806,5053
2017-10-31,"94565","CA","San Francisco","Contra Costa","Pittsburg",32,1893,0,0.00264830508474576,0.0487534626038781,1275
2017-10-31,"10003","NY","New York","New York","New York",33,4153,0.00338245953128775,0.0287342085707208,0.0211458077206786,19774
2017-10-31,"10462","NY","New York","Bronx","New York",34,1596,0.020460358056266,0.0323415265200517,-0.0763888888888889,17586
2017-10-31,"10456","NY","New York","Bronx","New York",35,1848,-0.00215982721382289,-0.00431034482758621,0.0109409190371991,2683
2017-10-31,"60613","IL","Chicago","Cook","Chicago",36,1640,0.00122100122100122,0.00244498777506112,-0.0330188679245283,23161
2017-10-31,"78660","TX","Austin","Travis","Pflugerville",37,1515,-0.00197628458498024,0.0106737825216811,0.0154155495978552,866
2017-10-31,"75052","TX","Dallas-Fort Worth","Dallas","Grand Prairie",38,1171,0.00687876182287188,0.0289982425307557,0.118433619866285,1412
2017-10-31,"20009","DC","Washington","District of Columbia","Washington",39,2807,-0.00566772936592278,-0.00987654320987654,0.0137233658360419,15369
2017-10-31,"20002","DC","Washington","District of Columbia","Washington",40,2731,-0.00292077400511135,0.00220183486238532,0.0459594025277671,17545
2017-10-31,"21234","MD","Baltimore","Baltimore","Parkville",41,1392,0.00143884892086331,0.0108932461873638,0.0123636363636364,582
2017-10-31,"63376","MO","St. Louis","Saint Charles","Saint Peters",42,1004,0.00702106318956871,0.00904522613065327,0.0361197110423117,5106
2017-10-31,"77036","TX","Houston","Harris","Houston",43,911,0.0010989010989011,-0.00328227571115974,-0.0183189655172414,5466
2017-10-31,"30044","GA","Atlanta","Gwinnett","Lawrenceville",44,1239,0.00405186385737439,0.0147420147420147,0.0446880269814503,2581
2017-10-31,"10463","NY","New York","Bronx","New York",45,1949,-0.00510464522715671,-0.00255885363357216,0.0198848770277342,6261
2017-10-31,"60629","IL","Chicago","Cook","Chicago",46,1248,-0.000800640512409928,0.00160513643659711,0.00160513643659711,1813
2017-10-31,"60625","IL","Chicago","Cook","Chicago",47,1515,-0.00459921156373193,-0.00785854616895874,-0.0072083879423329,11670
2017-10-31,"11206","NY","New York","Kings","New York",48,2627,0.00114329268292683,0.00535782625334864,0.00420489296636086,8214
2017-10-31,"11230","NY","New York","Kings","New York",49,2180,0.00460829493087558,0.00925925925925926,0.000458926112895824,8273
2017-10-31,"11209","NY","New York","Kings","New York",50,2233,0.0072169598556608,0.0201005025125628,0.0168488160291439,12004
2017-10-31,"11201","NY","New York","Kings","New York",51,2968,0.00168747890651367,0.0122783083219645,0.0355896720167481,18911
2017-10-31,"78613","TX","Austin","Williamson","Cedar Park",52,1583,0.00126502213788741,0.00571791613722999,0.0206318504190845,1629
2017-10-31,"11212","NY","New York","Kings","New York",53,2146,0.0136986301369863,0.0267942583732057,0.0189933523266857,4159
2017-10-31,"37042","TN","Clarksville","Montgomery","Clarksville",54,690,0,0.00290697674418605,-0.00432900432900433,1389
2017-10-31,"75287","TX","Dallas-Fort Worth","Dallas","Dallas",55,1526,0.00726072607260726,0.0180120080053369,0.0324763193504736,1011
2017-10-31,"10024","NY","New York","New York","New York",56,4160,-0.0014402304368699,0.0221130221130221,0.01364522417154,18227
2017-10-31,"77479","TX","Houston","Fort Bend","Sugar Land",57,1473,0.00477489768076398,0.00752393980848153,-0.0521235521235521,1090
2017-10-31,"77429","TX","Houston","Harris","Cypress",58,1318,0.00610687022900763,0.00996168582375479,-0.0156833457804332,344
