"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-10-31,"10025","NY","New York","New York","New York",0,3741,-0.0024,0.00268024658268561,-0.0196540880503145,923
2017-10-31,"60657","IL","Chicago","Cook","Chicago",1,3529,-0.00954252034802133,-0.0142458100558659,0.0468703648768911,3317
2017-10-31,"10023","NY","New York","New York","New York",2,3994,0.00150451354062187,0.0201787994891443,-0.0113861386138614,1398
2017-10-31,"60614","IL","Chicago","Cook","Chicago",3,5393,-0.0129941434846266,-0.0312556134363212,0.0156308851224105,4692
2017-10-31,"79936","TX","El Paso","El Paso","El Paso",4,995,0.0030241935483871,0.00100603621730382,-0.0119165839126117,29274
2017-10-31,"10002","NY","New York","New York","New York",5,4398,0.00319343065693431,0.0189990732159407,-0.00430156214625311,264
2017-10-31,"60640","IL","Chicago","Cook","Chicago",6,2451,-0.00406338886631451,-0.00729040097205346,0.0187032418952618,2055
2017-10-31,"10467","NY","New York","Bronx","New York",7,1820,0.00719424460431655,0.0305775764439411,0.04,1257
2017-10-31,"77084","TX","Houston","Harris","Houston",8,1433,0.00139762403913347,0.00279916025192442,-0.00555170020818876,25578
2017-10-31,"94109","CA","San Francisco","San Francisco","San Francisco",9,5692,0.00158367059651592,-0.0153952603355821,-0.0655064849778361,762
2017-10-31,"75070","TX","Dallas-Fort Worth","Collin","McKinney",10,1944,0,0.00102986611740474,-0.00154083204930663,27611
2017-10-31,"11226","NY","New York","Kings","New York",11,2408,0.00964360587002096,0.0130416491375684,0.0317052270779777,1588
2017-10-31,"77494","TX","Houston","Fort Bend","Cinco Ranch",12,2162,-0.000924214417744917,-0.00184672206832872,-0.0195011337868481,31105
2017-10-31,"77449","TX","Houston","Harris","Cypress",13,1431,0.00210084033613445,0.00774647887323944,-0.00968858131487889,31637
2017-10-31,"11375","NY","New York","Queens","New York",14,2871,0.00244413407821229,0.0159235668789809,0.125,5358
2017-10-31,"10016","NY","New York","New York","New York",15,4112,0.00809021819073302,0.0383838383838384,0.0365515502898916,1202
2017-10-31,"11235","NY","New York","Kings","New York",16,2389,0.006318449873631,0.0067425200168563,0.0218135158254919,2682
2017-10-31,"60647","IL","Chicago","Cook","Chicago",17,2070,-0.00240963855421687,0,0.0262766484878533,5630
2017-10-31,"37211","TN","Nashville","Davidson","Nashville",18,1629,0.0018450184501845,0.00555555555555556,0.0356007628734901,15797
2017-10-31,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",19,2722,0.00294767870302137,0.0130256791961295,0.0497493251060548,9314
2017-10-31,"37013","TN","Nashville","Davidson","Nashville",20,1489,0.00880758807588076,0.0212620027434842,0.0427170868347339,19113
2017-10-31,"10009","NY","New York","New York","New York",21,4250,0.00283152430391694,0.0253317249698432,-0.00258155362590941,339
2017-10-31,"60618","IL","Chicago","Cook","Chicago",22,2159,-0.00689972401103956,-0.0123513266239707,-0.00415129151291513,8001
2017-10-31,"10029","NY","New York","New York","New York",23,3242,-0.0049109883364027,-0.00215450907971684,0.0115444617784711,311
2017-10-31,"10128","NY","New York","New York","New York",24,3509,0.000855675984027382,-0.00142287990893569,-0.0301271420674406,1115
2017-10-31,"10011","NY","New York","New York","New York",25,4856,0.00351312254598058,0.0173894825057616,-0.00897959183673469,1092
2017-10-31,"28269","NC","Charlotte","Mecklenburg","Charlotte",26,1384,0.00508351488743646,0.0198968312453943,0.0406015037593985,22882
2017-10-31,"78572","TX","McAllen","Hidalgo","Mission",27,1041,0.000961538461538462,-0.0169971671388102,-0.0160680529300567,19273
2017-10-31,"77573","TX","Houston","Galveston","League City",28,1989,0,-0.00150602409638554,-0.0143706640237859,24836
2017-10-31,"30349","GA","Atlanta","Clayton","Riverdale",29,1146,0.00438212094653812,0.0114739629302736,0.0475319926873857,21812
2017-10-31,"79912","TX","El Paso","El Paso","El Paso",30,1252,0,0.00320512820512821,-0.0188087774294671,18943
2017-10-31,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",31,5907,-0.00185873605947955,-0.00522061300101044,0.0130337849425485,6008
2017-10-31,"94565","CA","San Francisco","Contra Costa","Pittsburg",32,2217,0.0086442220200182,0.0263888888888889,0.0572246065808298,21004
2017-10-31,"77584","TX","Houston","Brazoria","Pearland",33,1872,-0.00372538584353379,-0.0121372031662269,-0.0315571650284532,22737
2017-10-31,"10003","NY","New York","New York","New York",34,4535,0.00532032808689869,0.0271800679501699,-0.00809273840769904,895
2017-10-31,"10462","NY","New York","Bronx","New York",35,1783,-0.000560538116591928,0,-0.00613154960981048,1044
2017-10-31,"10456","NY","New York","Bronx","New York",36,1904,0.00474934036939314,0.0111524163568773,0.0421455938697318,619
2017-10-31,"60613","IL","Chicago","Cook","Chicago",37,2973,-0.0142572944297082,-0.00502008032128514,0.0101936799184506,2263
2017-10-31,"78660","TX","Austin","Travis","Pflugerville",38,1637,-0.000610500610500611,-0.00425790754257908,-0.00304506699147381,22429
2017-10-31,"75052","TX","Dallas-Fort Worth","Dallas","Grand Prairie",39,1581,0.00317258883248731,0.0134615384615385,0.0408163265306122,23783
2017-10-31,"20009","DC","Washington","District of Columbia","Washington",40,2668,-0.00112317484088356,0.00338473110191801,-0.00707108299218459,570
2017-10-31,"20002","DC","Washington","District of Columbia","Washington",41,2659,-0.00783582089552239,-0.0188191881918819,0.037456106125634,1090
2017-10-31,"21234","MD","Baltimore","Baltimore","Parkville",42,1633,0.00184049079754601,0.00802469135802469,0.0315855969677827,21370
2017-10-31,"63376","MO","St. Louis","Saint Charles","Saint Peters",43,1466,0,0.0027359781121751,0.0152354570637119,22501
2017-10-31,"77036","TX","Houston","Harris","Houston",44,1514,0.00198544010589014,0.00933333333333333,-0.00721311475409836,5098
2017-10-31,"30044","GA","Atlanta","Gwinnett","Lawrenceville",45,1356,0.00370096225018505,0.0104321907600596,0.0390804597701149,21333
2017-10-31,"10463","NY","New York","Bronx","New York",46,2208,0.00454959053685168,0.0274546300604933,0.0818226359627633,1227
2017-10-31,"60629","IL","Chicago","Cook","Chicago",47,1448,-0.00344115622849277,-0.00481099656357388,0.00835654596100279,19027
2017-10-31,"60625","IL","Chicago","Cook","Chicago",48,2188,-0.00409649522075558,-0.00680889695869269,-0.00182481751824818,5149
2017-10-31,"11206","NY","New York","Kings","New York",49,2595,-0.000770119368502118,0,-0.0046029919447641,383
2017-10-31,"11230","NY","New York","Kings","New York",50,2495,0.010530579181855,0.017536704730832,0.0505263157894737,3511
2017-10-31,"11209","NY","New York","Kings","New York",51,2626,0.000380952380952381,0.00535987748851455,0.0900788709007887,3494
2017-10-31,"11201","NY","New York","Kings","New York",52,3299,0.0039561777236762,0.0213622291021672,0.121727303638218,1447
2017-10-31,"78613","TX","Austin","Williamson","Cedar Park",53,1745,-0.0017162471395881,0.00114744693057946,-0.0185601799775028,22109
2017-10-31,"11212","NY","New York","Kings","New York",54,2272,0.0106761565836299,0.0106761565836299,0.0388660265203475,1800
2017-10-31,"37042","TN","Clarksville","Montgomery","Clarksville",55,942,0.00106269925611052,0.00106269925611052,0.0118152524167562,24945
2017-10-31,"75287","TX","Dallas-Fort Worth","Dallas","Dallas",56,2169,0.00138504155124654,0.0207058823529412,0.0299145299145299,5755
2017-10-31,"10024","NY","New York","New York","New York",57,4381,-0.0119530897609382,-0.000684306569343066,-0.0273090586145648,1057
2017-10-31,"77479","TX","Houston","Fort Bend","Sugar Land",58,2344,-0.0101351351351351,-0.0159529806884971,-0.046766978446523,25516
2017-10-31,"77429","TX","Houston","Harris","Cypress",59,1724,0,-0.00289184499710815,-0.0265386787125918,25550
2017-10-31,"85032","AZ","Phoenix","Maricopa","Phoenix",60,1443,0.00208333333333333,0.0112123335669236,0.0494545454545455,16653
2017-10-31,"78130","TX","San Antonio","Comal","New Braunfels",61,1484,-0.00134589502018843,-0.00536193029490617,0.037037037037037,20146
2017-10-31,"11214","NY","New York","Kings","New York",62,2403,0.00543933054393305,0.0247334754797441,0.0402597402597403,1309
2017-10-31,"77077","TX","Houston","Harris","Houston",63,2095,0.00721153846153846,0.0106126386878919,0.02294921875,11278
2017-10-31,"78521","TX","Brownsville","Cameron","Brownsville",64,896,-0.00775193798449612,-0.00775193798449612,0.0181818181818182,20105
2017-10-31,"30043","GA","Atlanta","Gwinnett","Lawrenceville",65,1493,0.00134138162307176,0.00606469002695418,0.0317899101589496,22570
2017-10-31,"30096","GA","Atlanta","Gwinnett","Duluth",66,1479,0.00203252032520325,0.0102459016393443,0.0364400840925018,12459
2017-10-31,"23464","VA","Virginia Beach","Virginia Beach City","Virginia Beach",67,1628,0.00246305418719212,0.0143302180685358,0.0226130653266332,19730
2017-10-31,"94501","CA","San Francisco","Alameda","Alameda",68,3435,-0.00290275761973875,-0.0143472022955524,0.00233440326816458,9809
2017-10-31,"07030","NJ","New York","Hudson","Hoboken",69,2720,-0.0309939437121482,-0.0649707803368855,-0.0422535211267606,2560
2017-10-31,"60619","IL","Chicago","Cook","Chicago",70,1393,-0.0014336917562724,0.000718390804597701,0.025018395879323,12201
2017-10-31,"73099","OK","Oklahoma City","Canadian","Yukon",71,1230,-0.000812347684809098,0.0032626427406199,-0.0230341540905481,25690
2017-10-31,"11229","NY","New York","Kings","New York",72,2374,0.0115040477204942,0.0223944875107666,0.0462758924636404,6602
2017-10-31,"94110","CA","San Francisco","San Francisco","San Francisco",73,4621,0.00675381263616558,0.0205388692579505,0.00391049315663698,6368
2017-10-31,"28277","NC","Charlotte","Mecklenburg","Charlotte",74,2147,-0.00324976787372331,-0.00324976787372331,0.00656352555086732,17141
2017-10-31,"75243","TX","Dallas-Fort Worth","Dallas","Dallas",75,2130,0.00424328147100424,0.0181644359464627,0.0752145381120646,5822
2017-10-31,"90034","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",76,4206,-0.000950118764845606,0.00646087580760948,0.0334152334152334,4631
2017-10-31,"33160","FL","Miami-Fort Lauderdale","Miami-Dade","Sunny Isles Beach",77,2264,-0.00919037199124726,-0.0414902624894158,-0.200564971751412,4879
2017-10-31,"33139","FL","Miami-Fort Lauderdale","Miami-Dade","Miami Beach",78,2441,-0.00691619202603743,-0.027102431247509,-0.213848631239936,2231
2017-10-31,"44107","OH","Cleveland","Cuyahoga","Lakewood",79,1357,0.00221565731166913,0.0241509433962264,0.028030303030303,9707
2017-10-31,"77379","TX","Houston","Harris","Tomball",80,1799,0.00278706800445931,0.00334634690462911,-0.0164024056861673,24389
2017-10-31,"11377","NY","New York","Queens","New York",81,2410,-0.00124326564442603,0.00249584026622296,0.0437418796015591,2158
2017-10-31,"90044","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",82,2403,0.00208507089241034,0.0117894736842105,0.123422159887798,8894
2017-10-31,"33411","FL","Miami-Fort Lauderdale","Palm Beach","Royal Palm Beach",83,2177,-0.00320512820512821,-0.00548195523069895,0.0182413470533209,18989
2017-10-31,"11234","NY","New York","Kings","New York",84,2257,0.00445037828215398,-0.000885347498893316,0.0107478728168383,11352
2017-10-31,"90650","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Norwalk",85,2341,-0.000426985482493595,0.000855066267635742,0.0540297163439892,20089
2017-10-31,"90805","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Long Beach",86,2317,0.00433463372345037,0.0087070091423596,0.0741770978210478,11330
2017-10-31,"11207","NY","New York","Kings","New York",87,2248,0.00807174887892377,0.00716845878136201,0.0107913669064748,2534
2017-10-31,"75067","TX","Dallas-Fort Worth","Denton","Lewisville",88,1641,0.0012202562538133,0.00305623471882641,0.0288401253918495,10535
2017-10-31,"60617","IL","Chicago","Cook","Chicago",89,1353,-0.0014760147601476,0.0044543429844098,0.00894854586129754,17305
2017-10-31,"10019","NY","New York","New York","New York",90,4037,0.00472872075659532,0.0269651488170949,0.0194444444444444,778
2017-10-31,"44035","OH","Cleveland","Lorain","Elyria",91,860,-0.0069284064665127,-0.00578034682080925,0.0105757931844888,19026
2017-10-31,"23462","VA","Virginia Beach","Virginia Beach City","Virginia Beach",92,1437,0.000696378830083565,0.000696378830083565,0.0105485232067511,9492
2017-10-31,"19143","PA","Philadelphia","Philadelphia","Philadelphia",93,1261,-0.013302034428795,-0.0125293657008614,-0.0055205047318612,4001
2017-10-31,"48197","MI","Ann Arbor","Washtenaw","Ypsilanti",94,1533,0.000652741514360313,-0.0241884150222788,-0.000651890482398957,13850
2017-10-31,"78704","TX","Austin","Travis","Austin",95,2511,-0.00277998411437649,-0.0019872813990461,0.0100563153660499,7683
2017-10-31,"92683","CA","Los Angeles-Long Beach-Anaheim","Orange","Westminster",96,2836,0,0.0063875088715401,0.0369287020109689,16590
2017-10-31,"08701","NJ","New York","Ocean","Lakewood Township",97,2066,-0.000483792936623125,0.00339970859640602,-0.0114832535885167,13778
2017-10-31,"85710","AZ","Tucson","Pima","Tucson",98,1136,0.0017636684303351,0.00442086648983201,0.048938134810711,13418
2017-10-31,"11355","NY","New York","Queens","New York",99,2565,-0.00465657741559953,-0.000779119594857811,0.0581683168316832,2909
2017-10-31,"78666","TX","Austin","Hays","San Marcos",100,1468,-0.00407055630936228,0.00341763499658236,-0.00609343263371699,10122
2017-10-31,"66062","KS","Kansas City","Johnson","Olathe",101,1747,0,-0.00625711035267349,-0.00682205798749289,21747
2017-10-31,"78745","TX","Austin","Travis","Austin",102,1676,-0.00178677784395473,0,-0.00238095238095238,13648
2017-10-31,"95630","CA","Sacramento","Sacramento","Folsom",103,2285,0.000437828371278459,-0.000437445319335083,0.0173642030276046,19624
2017-10-31,"91910","CA","San Diego","San Diego","Chula Vista",104,2509,0.00319872051179528,0.0149676375404531,0.0454166666666667,11961
2017-10-31,"90026","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",105,3298,-0.00452761847268337,-0.00392630625188765,0.05536,4803
2017-10-31,"10314","NY","New York","Richmond","New York",106,2268,0.00398406374501992,0.0239277652370203,0.0553745928338762,13071
2017-10-31,"87111","NM","Albuquerque","Bernalillo","Albuquerque",107,1374,0.00807043286867205,0.0269058295964126,0.0177777777777778,18098
2017-10-31,"94558","CA","Napa","Napa","Napa",108,2716,0.0100409074005206,0.0199023657529103,0.0218209179834462,14248
2017-10-31,"11215","NY","New York","Kings","New York",109,3063,-0.000326370757180157,0.00856108001317089,0.108176555716353,1609
2017-10-31,"98052","WA","Seattle","King","Redmond",110,2903,0.00276338514680484,0.0203866432337434,0.0229034531360113,13670
2017-10-31,"30024","GA","Atlanta","Gwinnett","Suwanee",111,1939,0.000515995872033024,0.00570539419087137,0.0109489051094891,21241
2017-10-31,"32210","FL","Jacksonville","Duval","Jacksonville",112,1033,-0.0038572806171649,-0.000967117988394584,0.0207509881422925,18269
